table,panel_or_group,current_crsp_ccm,no_crsp_ccm,difference,pct_difference_vs_current
Table 1,1980-1989,5619,7253,1634,0.2907990745684286
Table 1,1985-1994,7041,8998,1957,0.27794347393836105
Table 1,1990-1999,7768,10183,2415,0.3108908341915551
Table 1,1995-2004,7454,10271,2817,0.3779178964314462
Table 2,Other,3134,4158,1024,0.3267389917038928
Table 2,Group I: Non-payers,3967,5503,1536,0.38719435341567937
Table 2,Group II: Regular div. + regular rep.,301,331,30,0.09966777408637874
Table 2,Group III: Occasional rep. only,3114,3814,700,0.224791265253693
Table 2,Group IV: Regular rep. only,387,442,55,0.1421188630490956
Table 2,Group V: Dividend-only regular,192,312,120,0.625
Table 2,Total main-sample firms,11095,14560,3465,0.31230283911671924
