row_label,0,1-4,5-9,10,Sum
1980-1989 | 0,"2,753 / 0
(38.0%; 0.0%)","590 / 18,354
(8.1%; 2.8%)","250 / 28,378
(3.4%; 4.3%)","194 / 49,865
(2.7%; 7.6%)","3,787 / 96,597
(52.2%; 14.7%)"
1980-1989 | 1-4,"1,538 / 9,446
(21.2%; 1.4%)","512 / 13,808
(7.1%; 2.1%)","508 / 78,262
(7.0%; 11.9%)","506 / 256,019
(7.0%; 39.0%)","3,064 / 357,535
(42.2%; 54.4%)"
1980-1989 | 5+,"85 / 1,286
(1.2%; 0.2%)","42 / 823
(0.6%; 0.1%)","59 / 29,155
(0.8%; 4.4%)","216 / 171,861
(3.0%; 26.1%)","402 / 203,125
(5.5%; 30.9%)"
1980-1989 | Sum,"4,376 / 10,732
(60.3%; 1.6%)","1,144 / 32,986
(15.8%; 5.0%)","817 / 135,794
(11.3%; 20.7%)","916 / 477,745
(12.6%; 72.7%)","7,253 / 657,257
(100.0%; 100.0%)"
1985-1994 | 0,"3,736 / 0
(41.5%; 0.0%)","727 / 24,226
(8.1%; 2.3%)","182 / 45,900
(2.0%; 4.3%)","115 / 81,587
(1.3%; 7.6%)","4,760 / 151,712
(52.9%; 14.1%)"
1985-1994 | 1-4,"2,093 / 13,082
(23.3%; 1.2%)","672 / 43,144
(7.5%; 4.0%)","340 / 40,772
(3.8%; 3.8%)","358 / 288,164
(4.0%; 26.8%)","3,463 / 385,162
(38.5%; 35.9%)"
1985-1994 | 5+,"208 / 5,729
(2.3%; 0.5%)","88 / 10,327
(1.0%; 1.0%)","134 / 28,181
(1.5%; 2.6%)","345 / 492,325
(3.8%; 45.9%)","775 / 536,562
(8.6%; 50.0%)"
1985-1994 | Sum,"6,037 / 18,811
(67.1%; 1.8%)","1,487 / 77,696
(16.5%; 7.2%)","656 / 114,853
(7.3%; 10.7%)","818 / 862,076
(9.1%; 80.3%)","8,998 / 1,073,436
(100.0%; 100.0%)"
1990-1999 | 0,"4,341 / -5
(42.6%; -0.0%)","724 / 20,428
(7.1%; 1.3%)","159 / 78,844
(1.6%; 5.2%)","86 / 87,280
(0.8%; 5.8%)","5,310 / 186,546
(52.1%; 12.3%)"
1990-1999 | 1-4,"2,644 / 47,733
(26.0%; 3.1%)","709 / 43,682
(7.0%; 2.9%)","352 / 94,337
(3.5%; 6.2%)","271 / 267,782
(2.7%; 17.7%)","3,976 / 453,534
(39.0%; 29.9%)"
1990-1999 | 5+,"290 / 26,949
(2.8%; 1.8%)","85 / 9,972
(0.8%; 0.7%)","155 / 94,282
(1.5%; 6.2%)","367 / 745,393
(3.6%; 49.1%)","897 / 876,597
(8.8%; 57.8%)"
1990-1999 | Sum,"7,275 / 74,677
(71.4%; 4.9%)","1,518 / 74,082
(14.9%; 4.9%)","666 / 267,463
(6.5%; 17.6%)","724 / 1,100,455
(7.1%; 72.6%)","10,183 / 1,516,677
(100.0%; 100.0%)"
1995-2004 | 0,"4,386 / 0
(42.7%; 0.0%)","665 / 60,612
(6.5%; 2.8%)","109 / 59,703
(1.1%; 2.8%)","41 / 21,342
(0.4%; 1.0%)","5,201 / 141,657
(50.6%; 6.6%)"
1995-2004 | 1-4,"2,830 / 74,432
(27.6%; 3.5%)","746 / 107,067
(7.3%; 5.0%)","258 / 123,280
(2.5%; 5.8%)","197 / 256,934
(1.9%; 12.0%)","4,031 / 561,714
(39.2%; 26.3%)"
1995-2004 | 5+,"384 / 107,374
(3.7%; 5.0%)","163 / 68,793
(1.6%; 3.2%)","137 / 61,223
(1.3%; 2.9%)","355 / 1,193,832
(3.5%; 55.9%)","1,039 / 1,431,221
(10.1%; 67.0%)"
1995-2004 | Sum,"7,600 / 181,806
(74.0%; 8.5%)","1,574 / 236,472
(15.3%; 11.1%)","504 / 244,206
(4.9%; 11.4%)","593 / 1,472,108
(5.8%; 69.0%)","10,271 / 2,134,593
(100.0%; 100.0%)"
