row_label,0,1-4,5-9,10,Sum
"1980-1989
0","2,753
(0.380)","590
(0.081)","250
(0.034)","194
(0.027)","3,787
(0.522)"
1-4,"1,538
(0.212)","512
(0.071)","508
(0.070)","506
(0.070)","3,064
(0.422)"
5-10,"85
(0.012)","42
(0.006)","59
(0.008)","216
(0.030)","402
(0.055)"
Sum,"4,376
(0.603)","1,144
(0.158)","817
(0.113)","916
(0.126)","7,253
(1.000)"
"1985-1994
0","3,736
(0.415)","727
(0.081)","182
(0.020)","115
(0.013)","4,760
(0.529)"
1-4,"2,093
(0.233)","672
(0.075)","340
(0.038)","358
(0.040)","3,463
(0.385)"
5-10,"208
(0.023)","88
(0.010)","134
(0.015)","345
(0.038)","775
(0.086)"
Sum,"6,037
(0.671)","1,487
(0.165)","656
(0.073)","818
(0.091)","8,998
(1.000)"
"1990-1999
0","4,341
(0.426)","724
(0.071)","159
(0.016)","86
(0.008)","5,310
(0.521)"
1-4,"2,644
(0.260)","709
(0.070)","352
(0.035)","271
(0.027)","3,976
(0.390)"
5-10,"290
(0.028)","85
(0.008)","155
(0.015)","367
(0.036)","897
(0.088)"
Sum,"7,275
(0.714)","1,518
(0.149)","666
(0.065)","724
(0.071)","10,183
(1.000)"
"1995-2004
0","4,386
(0.427)","665
(0.065)","109
(0.011)","41
(0.004)","5,201
(0.506)"
1-4,"2,830
(0.276)","746
(0.073)","258
(0.025)","197
(0.019)","4,031
(0.392)"
5-10,"384
(0.037)","163
(0.016)","137
(0.013)","355
(0.035)","1,039
(0.101)"
Sum,"7,600
(0.740)","1,574
(0.153)","504
(0.049)","593
(0.058)","10,271
(1.000)"
