row_label,0,1-4,5-9,10,Sum
"1980-1989
0","0
(0.000)","18,354
(0.028)","28,378
(0.043)","49,865
(0.076)","96,597
(0.147)"
1-4,"9,446
(0.014)","13,808
(0.021)","78,262
(0.119)","256,019
(0.390)","357,535
(0.544)"
5-10,"1,286
(0.002)","823
(0.001)","29,155
(0.044)","171,861
(0.261)","203,125
(0.309)"
Sum,"10,732
(0.016)","32,986
(0.050)","135,794
(0.207)","477,745
(0.727)","657,257
(1.000)"
"1985-1994
0","0
(0.000)","24,226
(0.023)","45,900
(0.043)","81,587
(0.076)","151,712
(0.141)"
1-4,"13,082
(0.012)","43,144
(0.040)","40,772
(0.038)","288,164
(0.268)","385,162
(0.359)"
5-10,"5,729
(0.005)","10,327
(0.010)","28,181
(0.026)","492,325
(0.459)","536,562
(0.500)"
Sum,"18,811
(0.018)","77,696
(0.072)","114,853
(0.107)","862,076
(0.803)","1,073,436
(1.000)"
"1990-1999
0","-5
(0.000)","20,428
(0.013)","78,844
(0.052)","87,280
(0.058)","186,546
(0.123)"
1-4,"47,733
(0.031)","43,682
(0.029)","94,337
(0.062)","267,782
(0.177)","453,534
(0.299)"
5-10,"26,949
(0.018)","9,972
(0.007)","94,282
(0.062)","745,393
(0.491)","876,597
(0.578)"
Sum,"74,677
(0.049)","74,082
(0.049)","267,463
(0.176)","1,100,455
(0.726)","1,516,677
(1.000)"
"1995-2004
0","0
(0.000)","60,612
(0.028)","59,703
(0.028)","21,342
(0.010)","141,657
(0.066)"
1-4,"74,432
(0.035)","107,067
(0.050)","123,280
(0.058)","256,934
(0.120)","561,714
(0.263)"
5-10,"107,374
(0.050)","68,793
(0.032)","61,223
(0.029)","1,193,832
(0.559)","1,431,221
(0.670)"
Sum,"181,806
(0.085)","236,472
(0.111)","244,206
(0.114)","1,472,108
(0.690)","2,134,593
(1.000)"
