panel,model,term,coef,se,p,stars,pseudo_r2,N,y1,y0,converged,status,error
Panel A,2000-2005 ESO,_cons,-0.20626849414685888,0.1335866143999493,0.1225688180805289,,0.027992395990035446,1474,960,514,True,estimated,
Panel A,2000-2005 ESO,roa,4.217286774865224,0.7257914152784426,6.22477079211295e-09,*,0.027992395990035446,1474,960,514,True,estimated,
Panel A,2000-2005 ESO,past_stock_return,-0.09289937197985149,0.09937617570700617,0.3498782937025444,,0.027992395990035446,1474,960,514,True,estimated,
Panel A,2000-2005 ESO,cash,1.673176590532328,0.5836710037841107,0.00414850257534264,*,0.027992395990035446,1474,960,514,True,estimated,
Panel A,2000-2005 ESO,eso_dilution,9.89490347887756,12.01637291058572,0.4102511363630871,,0.027992395990035446,1474,960,514,True,estimated,
Panel B,2000-2005 ESO,_cons,-0.9953098666805918,0.04619308909458952,5.682497531367643e-103,*,0.061340238240645606,6358,2404,3954,True,estimated,
Panel B,2000-2005 ESO,regular_dummy,1.0530903908173643,0.07633222706523426,2.6885398799820684e-43,*,0.061340238240645606,6358,2404,3954,True,estimated,
Panel B,2000-2005 ESO,roa,0.957852249811752,0.15020695370157688,1.8072778980884904e-10,*,0.061340238240645606,6358,2404,3954,True,estimated,
Panel B,2000-2005 ESO,roa_regular,1.358371786669221,0.37728126753426905,0.00031770109205029955,*,0.061340238240645606,6358,2404,3954,True,estimated,
Panel B,2000-2005 ESO,past_stock_return,-0.08786485094032079,0.019475636118305256,6.43627014616368e-06,*,0.061340238240645606,6358,2404,3954,True,estimated,
Panel B,2000-2005 ESO,cash,0.8534698016876158,0.12303779746600785,4.0151466543440335e-12,*,0.061340238240645606,6358,2404,3954,True,estimated,
Panel B,2000-2005 ESO,eso_dilution,-0.7699535234344044,0.37070064408088027,0.03779949632657465,†,0.061340238240645606,6358,2404,3954,True,estimated,
