costat,curcd,datafmt,indfmt,consol,tic,datadate,gvkey,fyear,xintopt
A,USD,STD,INDL,C,AIR,1995-05-31,001004,1994,
A,USD,STD,INDL,C,AIR,1996-05-31,001004,1995,0.1380
A,USD,STD,INDL,C,AIR,1997-05-31,001004,1996,0.8670
A,USD,STD,INDL,C,AIR,1998-05-31,001004,1997,1.1790
A,USD,STD,INDL,C,AIR,1999-05-31,001004,1998,1.2680
A,USD,STD,INDL,C,AIR,2000-05-31,001004,1999,2.0660
A,USD,STD,INDL,C,AIR,2001-05-31,001004,2000,2.5300
A,USD,STD,INDL,C,AIR,2002-05-31,001004,2001,2.9600
A,USD,STD,INDL,C,AIR,2003-05-31,001004,2002,2.6160
A,USD,STD,INDL,C,AIR,2004-05-31,001004,2003,1.8650
A,USD,STD,INDL,C,AIR,2005-05-31,001004,2004,2.9450
I,USD,STD,INDL,C,4165A,1995-12-31,001010,1995,
I,USD,STD,INDL,C,4165A,1996-12-31,001010,1996,
I,USD,STD,INDL,C,4165A,1997-12-31,001010,1997,
I,USD,STD,INDL,C,4165A,1998-12-31,001010,1998,
I,USD,STD,INDL,C,4165A,1999-12-31,001010,1999,
I,USD,STD,INDL,C,4165A,2000-12-31,001010,2000,
I,USD,STD,INDL,C,4165A,2001-12-31,001010,2001,
I,USD,STD,INDL,C,4165A,2002-12-31,001010,2002,
I,USD,STD,INDL,C,4165A,2003-12-31,001010,2003,
I,USD,STD,INDL,C,ADCT.1,1995-10-31,001013,1995,
I,USD,STD,INDL,C,ADCT.1,1996-10-31,001013,1996,1.6700
I,USD,STD,INDL,C,ADCT.1,1997-10-31,001013,1997,19.1560
I,USD,STD,INDL,C,ADCT.1,1998-10-31,001013,1998,29.5060
I,USD,STD,INDL,C,ADCT.1,1999-10-31,001013,1999,42.7180
I,USD,STD,INDL,C,ADCT.1,2000-10-31,001013,2000,102.4000
I,USD,STD,INDL,C,ADCT.1,2001-10-31,001013,2001,106.0000
I,USD,STD,INDL,C,ADCT.1,2002-10-31,001013,2002,114.4000
I,USD,STD,INDL,C,ADCT.1,2003-10-31,001013,2003,42.3000
I,USD,STD,INDL,C,ADCT.1,2004-10-31,001013,2004,33.7000
I,USD,STD,INDL,C,ADCT.1,2005-10-31,001013,2005,17.5000
I,USD,STD,INDL,C,AELNA,1995-02-28,001017,1994,
I,USD,STD,INDL,C,AFAP,1995-12-31,001019,1995,
I,USD,STD,INDL,C,AFAP,1996-12-31,001019,1996,
I,USD,STD,INDL,C,AFAP,1997-12-31,001019,1997,
I,USD,STD,INDL,C,AFAP,1998-12-31,001019,1998,
I,USD,STD,INDL,C,AFAP,1999-12-31,001019,1999,
I,USD,STD,INDL,C,AFAP,2000-12-31,001019,2000,
I,USD,STD,INDL,C,AFAP,2001-12-31,001019,2001,
I,USD,STD,INDL,C,AFAP,2002-12-31,001019,2002,
I,USD,STD,INDL,C,AFAP,2003-12-31,001019,2003,
I,USD,STD,INDL,C,AFAP,2004-12-31,001019,2004,
I,USD,STD,INDL,C,AFAP,2005-12-31,001019,2005,
I,USD,STD,INDL,C,IWKS,1995-06-30,001021,1995,
I,USD,STD,INDL,C,IWKS,1996-06-30,001021,1996,
I,USD,STD,INDL,C,IWKS,1997-06-30,001021,1997,
I,USD,STD,INDL,C,IWKS,1998-06-30,001021,1998,
I,USD,STD,INDL,C,IWKS,1999-06-30,001021,1999,
I,USD,STD,INDL,C,IWKS,2000-06-30,001021,2000,0.1600
I,USD,STD,INDL,C,IWKS,2001-06-30,001021,2001,0.1490
I,USD,STD,INDL,C,IWKS,2002-06-30,001021,2002,0.0190
I,USD,STD,INDL,C,IWKS,2003-06-30,001021,2003,0.0030
I,USD,STD,INDL,C,IWKS,2004-06-30,001021,2004,0.2320
I,USD,STD,INDL,C,IWKS,2005-06-30,001021,2005,0.1520
I,USD,STD,INDL,C,AIIN,1995-02-28,001025,1994,
I,USD,STD,INDL,C,AIIN,1996-02-29,001025,1995,
I,USD,STD,INDL,C,ALO.2,1995-12-31,001034,1995,
I,USD,STD,INDL,C,ALO.2,1996-12-31,001034,1996,
I,USD,STD,INDL,C,ALO.2,1997-12-31,001034,1997,1.0800
I,USD,STD,INDL,C,ALO.2,1998-12-31,001034,1998,1.7840
I,USD,STD,INDL,C,ALO.2,1999-12-31,001034,1999,2.6550
I,USD,STD,INDL,C,ALO.2,2000-12-31,001034,2000,4.4180
I,USD,STD,INDL,C,ALO.2,2001-12-31,001034,2001,4.8760
I,USD,STD,INDL,C,ALO.2,2002-12-31,001034,2002,6.3350
I,USD,STD,INDL,C,ALO.2,2003-12-31,001034,2003,5.0410
I,USD,STD,INDL,C,ALO.2,2004-12-31,001034,2004,5.1390
I,USD,STD,INDL,C,ALO.2,2005-12-31,001034,2005,4.4230
I,USD,STD,INDL,C,UDI.,1995-12-31,001036,1995,
I,USD,STD,INDL,C,UDI.,1996-12-31,001036,1996,
I,USD,STD,INDL,C,UDI.,1997-12-31,001036,1997,
I,USD,STD,INDL,C,UDI.,1998-12-31,001036,1998,
I,USD,STD,INDL,C,UDI.,1999-12-31,001036,1999,
I,USD,STD,INDL,C,UDI.,2000-12-31,001036,2000,
I,USD,STD,INDL,C,AMCM.,1995-03-31,001037,1994,
I,USD,STD,INDL,C,AMCM.,1996-03-31,001037,1995,
I,USD,STD,INDL,C,AMCM.,1997-03-31,001037,1996,
I,USD,STD,INDL,C,AMCM.,1998-03-31,001037,1997,
I,USD,STD,INDL,C,AMCM.,1999-03-31,001037,1998,
I,USD,STD,INDL,C,AMCM.,2000-03-31,001037,1999,
I,USD,STD,INDL,C,AMCM.,2001-03-31,001037,2000,0.7290
I,USD,STD,INDL,C,AMCM.,2002-03-31,001037,2001,0.6320
I,USD,STD,INDL,C,AEN.2,1995-03-31,001038,1994,
I,USD,STD,INDL,C,AEN.2,1996-03-31,001038,1995,
I,USD,STD,INDL,C,AEN.2,1997-03-31,001038,1996,0.3310
I,USD,STD,INDL,C,AEN.2,1998-03-31,001038,1997,1.5080
I,USD,STD,INDL,C,AEN.2,1999-03-31,001038,1998,1.8610
I,USD,STD,INDL,C,AEN.2,2000-03-31,001038,1999,1.8460
I,USD,STD,INDL,C,AEN.2,2001-03-31,001038,2000,0.7070
I,USD,STD,INDL,C,AEN.2,2002-03-31,001038,2001,0.7170
I,USD,STD,INDL,C,AEN.2,2003-03-31,001038,2002,1.7890
I,USD,STD,INDL,C,AEN.2,2004-03-31,001038,2003,0.6940
I,USD,STD,INDL,C,MTI.3,1995-07-31,001043,1995,
I,USD,STD,INDL,C,MTI.3,1996-07-31,001043,1996,
I,USD,STD,INDL,C,MTI.3,1997-07-31,001043,1997,
