panel,step,condition,firm_years,dropped_from_previous,retained_rate_from_previous,cumulative_rate_from_panel_first_step
Panel A: Group II,1,Group II / III / IV,3036,0,,1.0
Panel A: Group II,2,repurchase_dummy 有效,3016,20,0.9934123847167325,0.9934123847167325
Panel A: Group II,3,ROA 有效,3006,10,0.996684350132626,0.9901185770750988
Panel A: Group II,4,past_stock_return 有效,3006,0,1.0,0.9901185770750988
Panel A: Group II,5,cash 有效,3002,4,0.9986693280106453,0.9888010540184453
Panel A: Group II,6,at > 0,3002,0,1.0,0.9888010540184453
Panel A: Group II,7,xintopt 非缺失,2357,645,0.785143237841439,0.7763504611330698
Panel A: Group II,8,final ESO sample（含 at>0 审计口径）,2357,0,1.0,0.7763504611330698
Panel B: Group III/IV,1,Group II / III / IV,17423,0,,1.0
Panel B: Group III/IV,2,repurchase_dummy 有效,15131,2292,0.8684497503300236,0.8684497503300236
Panel B: Group III/IV,3,ROA 有效,15086,45,0.997025973167669,0.8658669574700109
Panel B: Group III/IV,4,past_stock_return 有效,12606,2480,0.835609174068673,0.7235263731848706
Panel B: Group III/IV,5,cash 有效,12606,0,1.0,0.7235263731848706
Panel B: Group III/IV,6,at > 0,12606,0,1.0,0.7235263731848706
Panel B: Group III/IV,7,xintopt 非缺失,7729,4877,0.6131207361573854,0.44360902255639095
Panel B: Group III/IV,8,final ESO sample（含 at>0 审计口径）,7729,0,1.0,0.44360902255639095
