step,condition,firm_years,dropped_from_previous,retained_rate_from_previous,cumulative_rate_from_first_step
1,1995-2005 所有 Compustat 公司年,115966,0,,1.0
2,满足 C/INDL/STD、USD、USA、非金融非公用事业,75668,40298,0.6525015952951727,0.6525015952951727
3,Group II / III / IV（V2 当前 CRSP/CCM 主样本分组后）,20459,55209,0.2703784955331184,0.17642239966886847
4,repurchase_dummy 有效,18147,2312,0.886993499193509,0.1564855216184054
5,ROA 有效,18092,55,0.9969691960103598,0.15601124467516342
6,past_stock_return 有效,15612,2480,0.8629228388237895,0.13462566614352484
7,cash 有效,15608,4,0.9997437868306431,0.1345911732749254
8,at > 0,15608,0,1.0,0.1345911732749254
9,xintopt 非缺失,10086,5522,0.6462070732957458,0.08697376817343014
10,final ESO sample（含 at>0 审计口径）,10086,0,1.0,0.08697376817343014
